r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 1.7932061869682262e-06
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 5.3719992203176455e-06
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 0.00011280688314790106
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 0.0005691719852620736
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 9.513215388778917e-07
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 7.054243178572506e-05
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 7.66569025602491e-06
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 0.00018731796080828644
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 0.0003103032374513402
r = [[0, 1, 1], [0, 0, 1], [0, 0, 1], [0, 0, 0]]: 0.0001717848811365132
