r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 6.452332075111501e-06
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 8.84798308626549e-05
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 5.134866017085317e-06
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 2.7648587092699017e-05
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 4.950355235320915e-06
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 0.0003413476385633528
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 0.0001459716219999661
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 1.264475219743742e-05
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 3.378617488384147e-06
r = [[1, 0, 1], [1, 1, 0], [1, 1, 1], [1, 0, 0]]: 4.9039760727152627e-05
