r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 4.302933744578955e-05
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 2.3844984233229688e-05
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 5.230249468825475e-06
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 5.459323054830227e-06
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 0.00040689337713826845
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 0.00018399908809182567
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 7.349179590424424e-05
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 1.648490475807713e-06
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 2.2550834728463087e-06
r = [[0, 0, 1], [0, 0, 0], [0, 0, 0], [1, 0, 0]]: 7.903845601374218e-06
