r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 0.00019469169235110582
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 5.1799823787795115e-06
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 0.00032366731985738236
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 8.489416034405752e-06
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 4.753308270924858e-06
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 0.00024222979170320156
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 6.716147059445835e-06
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 0.00044314002869733874
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 6.011495185833025e-06
r = [[1, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]: 0.0003426197503618563
