r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 5.38822320095278e-07
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 5.263212642603321e-06
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 3.921448946389969e-06
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 8.265024851945263e-06
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 0.00019341858829388263
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 3.0524310789457687e-06
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 3.2277512218570337e-06
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 0.0002284900834378537
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 0.00016800915584878697
r = [[1, 0, 0], [1, 1, 0], [0, 1, 0], [1, 0, 1]]: 0.0001664942553491398
