r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 7.731662714961982e-05
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 7.738017757219495e-06
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 2.4786866366152287e-05
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 0.00014152836956782266
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 3.602871285173543e-05
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 1.6492684185972654e-06
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 0.00023853178715528754
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 6.560944841891926e-06
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 9.475408192624204e-05
r = [[1, 0, 1], [1, 1, 1], [1, 1, 0], [0, 1, 0]]: 2.8844512209096657e-05
