r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 9.085615108363397e-05
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 1.1298118481915611e-05
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 4.3677350861668985e-05
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.00034424804055431323
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.00015059375592889928
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.0005174639404036238
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.00016899308840428212
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.00014205880298894563
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 0.00027776223487308016
r = [[1, 1, 0], [0, 1, 1], [1, 0, 1], [0, 0, 0]]: 1.1107861934890804e-05
