r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 9.681971765270905e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 7.010970364262903e-07
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 0.0007075515038325518
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 3.338445529672234e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 4.945166275709718e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 2.147045279343729e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 1.649529264925929e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 0.00042456523000769915
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 2.6933109243795376e-06
r = [[1, 1, 0], [1, 0, 0], [0, 0, 0], [1, 0, 1]]: 1.1734253259224455e-06
