r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 2.977559217600044e-06
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 0.0001132007905003515
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 0.0003217172977331627
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 1.973556235108325e-05
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 1.1140619936408517e-06
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 2.28628057032308e-06
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 1.3308395685791247e-06
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 1.07026707415311e-05
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 7.481812333155955e-05
r = [[0, 0, 0], [1, 1, 0], [1, 0, 0], [0, 0, 0]]: 0.0001475083673929995
