r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 8.194355749375453e-06
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 0.00025591424127924256
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 2.501396686836545e-05
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 6.018832391418982e-05
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 8.09981915413768e-05
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 3.407271671156715e-06
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 9.820695335552696e-05
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 0.0002953060622011045
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 8.879227380020893e-07
r = [[1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 1]]: 1.7770457166729362e-06
