r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 8.659186505610705e-06
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 0.00017362948061158283
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 3.771270192893488e-06
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 0.0004752546358629063
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 3.880794923004162e-06
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 0.00032044886185238805
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 2.6141727370746333e-06
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 1.0342015684727812e-05
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 4.617073994138211e-05
r = [[1, 0, 1], [1, 1, 1], [1, 0, 1], [1, 0, 0]]: 0.00032401845029588524
