r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 3.9315713528204856e-05
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 3.0366173535055296e-06
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 1.9224985408072826e-06
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 5.933937687327021e-05
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 7.436975283781067e-05
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 0.00012221101055079738
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 2.0684524640403523e-06
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 2.5192613455666494e-06
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 6.493595289417239e-07
r = [[0, 0, 1], [1, 1, 0], [0, 0, 1], [0, 1, 1]]: 8.879024283357597e-05
