r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 5.5258384950970396e-06
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.0001785966398009415
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.0006017053653652381
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 1.5638194327038946e-05
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 3.95860365642875e-06
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 1.2453746421670076e-05
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.00020550944983759628
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 6.440569547651519e-06
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 8.253685012147929e-06
r = [[0, 1, 1], [0, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.00010482962872109576
