r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 3.883983205404158e-06
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 5.008815183568263e-06
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 1.462218512772649e-05
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.00017102992179778603
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 4.767667178384727e-06
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 7.72310123855797e-05
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.0003462969252723269
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 0.0004547176353558565
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 1.035708887034811e-05
r = [[1, 1, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]: 2.206617247273763e-06
