r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 6.9722836997243576e-06
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 2.4100527623107027e-06
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 3.386074604350142e-05
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 0.00011063742567785084
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 8.059068542414545e-05
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 0.00022883443879046745
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 8.490725823711338e-05
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 3.4844756880504846e-06
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 7.839865273646345e-05
r = [[0, 0, 0], [0, 0, 0], [1, 0, 0], [0, 1, 0]]: 4.0514940987382685e-05
