r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 0.00028360499059739856
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 6.8497106765010225e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 1.4361731440918187e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 3.056669746521428e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 3.2509346445814504e-05
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 1.3120308364835052e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 6.509619002567238e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 0.0001700533619961269
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 4.779856843535006e-06
r = [[0, 0, 0], [0, 0, 1], [0, 1, 1], [0, 1, 1]]: 0.00010773123306405199
