r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 0.0003875923326372036
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 7.815331173333107e-05
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 0.0007319858798707303
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 8.982882738044802e-05
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 0.00048521871316812133
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 2.074500181541745e-06
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 1.6848037327170978e-06
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 2.796509709566765e-05
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 2.100201332463517e-06
r = [[0, 1, 1], [1, 0, 0], [1, 1, 0], [0, 0, 1]]: 9.324160211170758e-05
