r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 0.00010880166597157117
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 5.565035033734083e-05
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 7.413464014202223e-05
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 3.3875264437353636e-06
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 8.838309804559685e-05
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 0.00016898489307745228
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 2.670106174004364e-06
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 7.584572683429412e-06
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 0.00011299946839114585
r = [[0, 0, 1], [0, 1, 0], [1, 1, 1], [0, 0, 1]]: 0.00014730615618775898
